steps	avg_reward	std_reward	success_rate
0	75.4	28.37780823108085	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	198.34	7.508954654277785	0.95
16000	199.52	2.6588719412562916	0.95
17000	198.74	6.472433854432196	0.95
18000	200.0	0.0	1.0
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
