steps	avg_reward	std_reward	success_rate
0	9.81	0.9454628496138808	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	166.01	10.850341008466046	0.0
13000	200.0	0.0	1.0
14000	198.1	4.8918299234540035	0.84
15000	200.0	0.0	1.0
16000	200.0	0.0	1.0
17000	200.0	0.0	1.0
18000	200.0	0.0	1.0
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
