steps	avg_reward	std_reward	success_rate
0	30.02	4.1230571182073135	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	199.59	4.079448492137143	0.99
16000	200.0	0.0	1.0
17000	200.0	0.0	1.0
18000	199.77	2.2884711053452262	0.99
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
