steps	avg_reward	std_reward	success_rate
0	21.09	3.4816519067821816	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	200.0	0.0	1.0
16000	199.69	3.0844610550305216	0.99
17000	180.19	21.31276378135881	0.37
18000	199.91	0.6647555941848101	0.98
19000	200.0	0.0	1.0
20000	195.92	13.214143937463374	0.9
